1699,614
1621,467
1814,358
1892,473
1617.0,471.0
1563.0,349.0
1741.0,263.0
1819.0,356.0
1555.0,353.0
1499.0,240.0
1673.0,167.0
1733.0,265.0
1483.0,251.0
1435.0,119.0
1609.0,79.0
1673.0,178.0
1396.0,134.0
1376.0,43.0
1550.0,12.0
1594.0,72.0
1038.0,66.0
1025.0,1.0
1353.0,15.0
1356.0,66.0
606.0,69.0
617.0,7.0
1029.0,3.0
1030.0,76.0
245.0,99.0
260.0,24.0
620.0,20.0
611.0,82.0
97.0,124.0
52.0,41.0
183.0,26.0
246.0,102.0
675.0,449.0
876.0,256.0
1080.0,256.0
929.0,445.0
445.0,459.0
658.0,269.0
878.0,257.0
682.0,446.0
201.0,481.0
451.0,271.0
672.0,266.0
431.0,471.0
10.0,494.0
248.0,290.0
443.0,285.0
214.0,473.0
88.0,415.0
10.0,383.0
71.0,308.0
249.0,297.0
1390.0,1061.0
1330.0,886.0
1805.0,822.0
1864.0,1005.0
866.0,1059.0
1063.0,741.0
1347.0,749.0
1187.0,1069.0
532.0,1072.0
738.0,769.0
1041.0,763.0
862.0,1072.0
220.0,1064.0
460.0,783.0
700.0,785.0
529.0,1066.0
9.0,1025.0
189.0,803.0
459.0,788.0
218.0,1067.0
